"","Status","Sex","Province","Area","Date.of.death","Cause.of.death","Province2"
"9512"," Civilian"," Adult - Male"," Homs"," Gender",2012-08-07," Shooting","Hims"
"9513"," Civilian"," Adult - Male"," Homs"," Gemder",2012-08-07," Shooting","Hims"
"9514"," Civilian"," Adult - Male"," Homs"," Gender",2012-08-07," Shooting","Hims"
"9515"," Civilian"," Adult - Male"," Daraa"," Inkhl",2012-08-07," Shooting","Dar`a"
"9516"," Civilian"," Adult - Male"," Homs"," Gender",2012-08-07," Shooting","Hims"
"9517"," Civilian"," Adult - Male"," Homs"," Alyat",2012-08-07," Shooting","Hims"
"9518"," Civilian"," Adult - Male"," Homs"," Alyat",2012-08-07," Shooting","Hims"
"9519"," Non-Civilian"," Adult - Male"," Idlib"," Binnish",2012-08-07," Shooting","Idlib"
"9520"," Civilian"," Adult - Male"," Daraa"," Sanamein",2012-08-07," Field Execution","Dar`a"
"9521"," Non-Civilian"," Adult - Male"," Daraa"," Basr al-Harir",2012-08-07," Shooting","Dar`a"
"9522"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Sbeneh",2012-08-07," Shelling","Rif Dimashq"
"9523"," Non-Civilian"," Adult - Male"," Deir Ezzor"," Mayaden",2012-08-07," Warplane shelling","Dayr Az Zawr"
"9524"," Civilian"," Adult - Male"," Hama"," Herr Bnafsoh",2012-08-07," Shooting","Hamah"
"9525"," Non-Civilian"," Adult - Male"," Aleppo"," Manbej",2012-08-07," Shooting","Aleppo"
"9526"," Civilian"," Adult - Male"," Damascus Suburbs"," Mleiha",2012-08-07," Field Execution","Rif Dimashq"
